AGEP,SCHL,MAR,DIS,ESP,CIT,MIG,MIL,ANC,NATIVITY,DEAR,DEYE,DREM,SEX,RAC1P,ST,PINCP,ESR,FER,HINS2
25.0,21.0,3.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,53000.0,1.0,0.0,False
19.0,18.0,5.0,2.0,0.0,4.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,6.0,49.0,4000.0,1.0,2.0,False
19.0,18.0,5.0,2.0,0.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,49.0,500.0,6.0,2.0,False
63.0,16.0,1.0,2.0,0.0,5.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,49.0,26000.0,1.0,0.0,False
65.0,16.0,1.0,2.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,6.0,49.0,1600.0,1.0,0.0,False
21.0,18.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,5500.0,1.0,2.0,False
62.0,16.0,3.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,49.0,36400.0,1.0,0.0,False
21.0,19.0,5.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,8000.0,1.0,2.0,False
67.0,22.0,5.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,39000.0,1.0,0.0,False
21.0,19.0,5.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,5200.0,1.0,0.0,False
27.0,17.0,5.0,1.0,0.0,3.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,49.0,6740.0,6.0,0.0,False
38.0,16.0,3.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,4000.0,6.0,0.0,False
19.0,14.0,5.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,5000.0,6.0,2.0,False
26.0,19.0,5.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,6.0,49.0,11000.0,1.0,0.0,True
25.0,21.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,40000.0,1.0,1.0,False
65.0,18.0,5.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,14100.0,1.0,0.0,True
21.0,19.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,8000.0,1.0,0.0,False
18.0,19.0,5.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,2500.0,1.0,0.0,False
27.0,19.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,14000.0,1.0,0.0,True
24.0,19.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,24000.0,1.0,0.0,False
62.0,16.0,3.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,49.0,36400.0,1.0,0.0,False
25.0,14.0,5.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,12000.0,6.0,0.0,False
32.0,21.0,5.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,49.0,34800.0,4.0,0.0,False
18.0,18.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,2000.0,1.0,2.0,False
19.0,19.0,5.0,1.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,49.0,9000.0,1.0,0.0,False
18.0,18.0,5.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,1500.0,1.0,2.0,False
18.0,18.0,5.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,9.0,49.0,5000.0,6.0,0.0,False
45.0,19.0,4.0,2.0,0.0,5.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,49.0,12000.0,1.0,0.0,False
30.0,21.0,5.0,2.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,6.0,49.0,29000.0,1.0,0.0,False
22.0,19.0,5.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,20000.0,1.0,0.0,False
25.0,21.0,5.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,20000.0,1.0,0.0,True
30.0,21.0,5.0,2.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,49.0,4500.0,1.0,2.0,False
43.0,21.0,3.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,8000.0,6.0,0.0,False
22.0,19.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,3500.0,6.0,2.0,False
21.0,19.0,5.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,4000.0,6.0,0.0,False
63.0,1.0,5.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,49.0,16000.0,1.0,0.0,False
26.0,17.0,4.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,500.0,6.0,2.0,False
62.0,16.0,3.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,49.0,36400.0,1.0,0.0,False
21.0,19.0,5.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,3500.0,1.0,0.0,True
18.0,20.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,400.0,1.0,0.0,True
60.0,19.0,3.0,1.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,27000.0,6.0,0.0,False
21.0,18.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,700.0,1.0,0.0,False
18.0,18.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,1700.0,1.0,2.0,False
21.0,19.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,1000.0,6.0,0.0,False
18.0,18.0,5.0,2.0,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,5000.0,1.0,2.0,False
18.0,18.0,5.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,5000.0,6.0,0.0,False
43.0,21.0,3.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,8000.0,6.0,0.0,False
31.0,22.0,1.0,2.0,0.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,18000.0,1.0,0.0,False
42.0,19.0,1.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,10000.0,6.0,2.0,False
18.0,16.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,7000.0,1.0,2.0,False
32.0,22.0,1.0,2.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,6.0,49.0,20000.0,1.0,1.0,False
17.0,19.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,9500.0,1.0,2.0,False
20.0,16.0,5.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,20000.0,4.0,0.0,False
19.0,19.0,5.0,2.0,0.0,5.0,1.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,49.0,5000.0,1.0,0.0,False
19.0,19.0,5.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,800.0,1.0,2.0,False
19.0,19.0,5.0,1.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,49.0,5000.0,1.0,2.0,False
23.0,13.0,5.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,49.0,750.0,6.0,0.0,False
36.0,18.0,3.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,75000.0,6.0,0.0,False
21.0,16.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,8.0,49.0,98000.0,1.0,0.0,False
51.0,9.0,5.0,1.0,0.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,49.0,28200.0,1.0,0.0,False
19.0,19.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,3700.0,1.0,2.0,False
55.0,17.0,3.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,2700.0,6.0,0.0,False
21.0,19.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,15000.0,1.0,2.0,False
21.0,19.0,5.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,7300.0,1.0,2.0,False
19.0,18.0,5.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,3000.0,6.0,2.0,True
23.0,19.0,5.0,2.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,6.0,49.0,18000.0,1.0,0.0,False
20.0,19.0,5.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,10000.0,1.0,2.0,True
20.0,16.0,5.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,5000.0,1.0,2.0,False
25.0,14.0,5.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,12000.0,6.0,0.0,False
21.0,19.0,5.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,4000.0,3.0,2.0,False
21.0,19.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,5500.0,1.0,2.0,False
21.0,19.0,5.0,2.0,0.0,5.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,6.0,49.0,9000.0,1.0,2.0,False
29.0,18.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,20000.0,6.0,0.0,False
18.0,16.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,7000.0,6.0,2.0,False
23.0,16.0,5.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,49.0,6360.0,1.0,0.0,False
17.0,19.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,9500.0,1.0,2.0,False
21.0,19.0,5.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,3500.0,1.0,0.0,True
18.0,18.0,5.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,7500.0,1.0,2.0,False
31.0,12.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,15000.0,6.0,2.0,False
19.0,19.0,5.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,700.0,6.0,2.0,False
42.0,19.0,1.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,10000.0,6.0,2.0,False
20.0,19.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,1700.0,6.0,2.0,False
20.0,19.0,5.0,2.0,0.0,1.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,9.0,49.0,470.0,3.0,2.0,True
22.0,18.0,5.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,10000.0,1.0,0.0,False
19.0,19.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,16000.0,6.0,2.0,True
19.0,18.0,5.0,2.0,0.0,4.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,6.0,49.0,4000.0,1.0,2.0,False
55.0,17.0,3.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,2700.0,6.0,0.0,False
18.0,16.0,5.0,2.0,0.0,3.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,840.0,6.0,2.0,True
19.0,16.0,5.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,8.0,49.0,5800.0,1.0,2.0,False
21.0,19.0,5.0,2.0,0.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,7000.0,1.0,2.0,True
25.0,21.0,1.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,15000.0,1.0,0.0,False
20.0,18.0,5.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,1000.0,1.0,0.0,False
23.0,19.0,5.0,1.0,0.0,1.0,3.0,4.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,49.0,8000.0,1.0,0.0,False
25.0,19.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,2200.0,3.0,0.0,False
52.0,18.0,3.0,2.0,0.0,1.0,3.0,3.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,6000.0,6.0,0.0,False
20.0,18.0,5.0,2.0,0.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,6000.0,6.0,2.0,False
22.0,19.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,2000.0,1.0,2.0,False
18.0,18.0,5.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,1500.0,1.0,2.0,False
21.0,19.0,1.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,9.0,49.0,10000.0,1.0,0.0,False
19.0,18.0,5.0,2.0,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,7000.0,1.0,0.0,True
20.0,16.0,5.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,5000.0,1.0,2.0,False
25.0,21.0,5.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,10000.0,1.0,2.0,True
20.0,19.0,5.0,2.0,0.0,1.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,9.0,49.0,470.0,3.0,2.0,True
21.0,19.0,5.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,4000.0,3.0,2.0,False
25.0,20.0,3.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,19200.0,1.0,2.0,False
21.0,19.0,5.0,2.0,0.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,3500.0,3.0,2.0,False
32.0,19.0,5.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,17510.0,1.0,2.0,False
21.0,19.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,8000.0,1.0,0.0,False
18.0,18.0,5.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,9.0,49.0,5000.0,6.0,0.0,False
18.0,18.0,5.0,2.0,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,5000.0,1.0,2.0,False
20.0,19.0,5.0,1.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,49.0,5000.0,1.0,2.0,False
62.0,16.0,3.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,49.0,36400.0,1.0,0.0,False
18.0,16.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,1400.0,1.0,2.0,True
20.0,18.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,8000.0,1.0,0.0,False
55.0,20.0,1.0,1.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,34000.0,6.0,0.0,False
21.0,18.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,7500.0,1.0,0.0,False
20.0,19.0,5.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,2000.0,6.0,2.0,False
18.0,19.0,5.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,9.0,49.0,3100.0,6.0,2.0,False
68.0,16.0,1.0,2.0,0.0,5.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,49.0,500.0,1.0,0.0,False
20.0,19.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,21000.0,1.0,2.0,False
65.0,18.0,5.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,14100.0,1.0,0.0,True
20.0,19.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,2000.0,1.0,0.0,False
25.0,21.0,3.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,53000.0,1.0,0.0,False
24.0,13.0,5.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,9700.0,6.0,0.0,True
32.0,13.0,4.0,1.0,0.0,1.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,8.0,49.0,20000.0,6.0,2.0,False
21.0,16.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,19000.0,1.0,2.0,False
46.0,18.0,4.0,1.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,49.0,8300.0,6.0,0.0,False
18.0,19.0,5.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,3000.0,1.0,2.0,False
22.0,20.0,5.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,20800.0,6.0,0.0,True
28.0,21.0,1.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,120000.0,1.0,2.0,False
21.0,16.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,8.0,49.0,98000.0,1.0,0.0,False
63.0,16.0,5.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,49.0,20200.0,1.0,0.0,False
23.0,19.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,4000.0,6.0,2.0,False
26.0,19.0,1.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,20000.0,1.0,2.0,False
47.0,16.0,3.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,2000.0,6.0,2.0,False
21.0,19.0,5.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,10000.0,3.0,0.0,True
18.0,16.0,5.0,2.0,0.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,18000.0,4.0,0.0,False
18.0,19.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,7300.0,1.0,2.0,False
23.0,16.0,5.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,49.0,6360.0,1.0,0.0,False
20.0,19.0,5.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,6000.0,1.0,2.0,False
50.0,13.0,5.0,1.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,49.0,18000.0,1.0,2.0,False
48.0,22.0,1.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,1800.0,6.0,0.0,False
25.0,20.0,3.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,19200.0,1.0,2.0,False
20.0,18.0,5.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,1000.0,1.0,0.0,False
18.0,18.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,4500.0,6.0,2.0,False
21.0,19.0,5.0,2.0,0.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,7000.0,1.0,2.0,True
25.0,19.0,5.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,45000.0,1.0,0.0,True
22.0,20.0,5.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,20800.0,6.0,0.0,True
24.0,19.0,5.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,500.0,6.0,0.0,False
23.0,19.0,1.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,1800.0,6.0,2.0,False
19.0,19.0,5.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,3700.0,1.0,2.0,False
26.0,19.0,5.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,6.0,49.0,11000.0,1.0,0.0,True
18.0,18.0,5.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,49.0,5000.0,1.0,2.0,False
48.0,22.0,1.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,1800.0,6.0,0.0,False
55.0,17.0,3.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,49.0,2700.0,6.0,0.0,False
